ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.833841832,0.833840942
16,33554432,536870912,0.825469804,0.825468458
32,16777216,536870912,0.807637665,0.807635632
64,8388608,536870912,0.820516846,0.820510143
128,4194304,536870912,0.800655766,0.800647704
256,2097152,536870912,0.754882322,0.754868020
512,1048576,536870912,0.651750716,0.651727599
1024,524288,536870912,0.659994274,0.659951914
2048,262144,536870912,0.563289406,0.563206543
4096,131072,536870912,0.550712273,0.550546395
8192,65536,536870912,0.530690924,0.530366084
16384,32768,536870912,0.517327163,0.516668320
32768,16384,536870912,0.518435667,0.517090882
65536,8192,536870912,0.520301418,0.517639154
131072,4096,536870912,0.529519783,0.524187879
262144,2048,536870912,0.542577061,0.531774474
524288,1024,536870912,0.574835329,0.552769871
1048576,512,536870912,0.660792009,0.616853752
2097152,256,536870912,0.829262885,0.741325369
4194304,128,536870912,1.020896433,0.843823574
8388608,64,536870912,1.246167786,0.888171556
16777216,32,536870912,1.613032270,0.904439229
33554432,16,536870912,2.307607656,0.882332918
67108864,8,536870912,3.681802508,0.865760999
134217728,4,536870912,6.492938622,0.869377375
268435456,2,536870912,12.076445951,0.862460107
536870912,1,536870912,45.410891134,22.487720293
