ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.721886667,0.721885706
16,33554432,536870912,0.724191282,0.724189694
32,16777216,536870912,0.729529062,0.729527008
64,8388608,536870912,0.922624574,0.922618277
128,4194304,536870912,0.776935917,0.776927703
256,2097152,536870912,0.672049063,0.672034900
512,1048576,536870912,0.661333003,0.661310276
1024,524288,536870912,0.644543955,0.644499788
2048,262144,536870912,0.576693661,0.576607888
4096,131072,536870912,0.508615872,0.508445675
8192,65536,536870912,0.467075508,0.466738589
16384,32768,536870912,0.428330998,0.427650279
32768,16384,536870912,0.414598938,0.413216014
65536,8192,536870912,0.408277208,0.405499777
131072,4096,536870912,0.410206697,0.404763336
262144,2048,536870912,0.421456038,0.410608357
524288,1024,536870912,0.460155134,0.438379295
1048576,512,536870912,0.516807541,0.473135407
2097152,256,536870912,0.630426185,0.542818817
4194304,128,536870912,0.799843676,0.624032301
8388608,64,536870912,1.025978061,0.673143014
16777216,32,536870912,1.396774462,0.692186473
33554432,16,536870912,2.097137257,0.689087745
67108864,8,536870912,3.510735439,0.693998805
134217728,4,536870912,6.306917834,0.694475466
268435456,2,536870912,11.907965675,0.694692082
536870912,1,536870912,32.917576861,10.085406220
