ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.704188821,0.704187931
16,33554432,536870912,0.780275126,0.780273863
32,16777216,536870912,0.822835869,0.822834103
64,8388608,536870912,0.816926733,0.816919215
128,4194304,536870912,0.840177689,0.840170080
256,2097152,536870912,0.637329890,0.637316818
512,1048576,536870912,0.746073218,0.746051274
1024,524288,536870912,0.713219153,0.713177997
2048,262144,536870912,0.677521076,0.677438167
4096,131072,536870912,0.611321258,0.611154609
8192,65536,536870912,0.540785370,0.540463221
16384,32768,536870912,0.505633453,0.504966589
32768,16384,536870912,0.478464565,0.477119256
65536,8192,536870912,0.463687269,0.461023762
131072,4096,536870912,0.449751523,0.444400718
262144,2048,536870912,0.462543865,0.451787384
524288,1024,536870912,0.484483658,0.462632756
1048576,512,536870912,0.556904234,0.512583300
2097152,256,536870912,0.653770864,0.566415804
4194304,128,536870912,0.821274935,0.646267731
8388608,64,536870912,1.038376088,0.688255089
16777216,32,536870912,1.410803786,0.709043253
33554432,16,536870912,2.100715540,0.700701039
67108864,8,536870912,3.543644117,0.732764661
134217728,4,536870912,6.275985723,0.696756506
268435456,2,536870912,11.886947272,0.705272393
536870912,1,536870912,32.719083692,9.861039982
