ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.011860172,1.011859294
16,33554432,536870912,0.914085434,0.914084093
32,16777216,536870912,0.885280837,0.885279071
64,8388608,536870912,0.879058541,0.879052061
128,4194304,536870912,0.834550422,0.834542698
256,2097152,536870912,0.723141260,0.723128667
512,1048576,536870912,0.702299254,0.702278157
1024,524288,536870912,0.683876360,0.683833821
2048,262144,536870912,0.662493812,0.662410919
4096,131072,536870912,0.678533633,0.678362479
8192,65536,536870912,0.650834762,0.650498229
16384,32768,536870912,0.648850654,0.648187956
32768,16384,536870912,0.653469528,0.652125230
65536,8192,536870912,0.657526282,0.654805440
131072,4096,536870912,0.666110889,0.660764941
262144,2048,536870912,0.675872805,0.665051025
524288,1024,536870912,0.732649142,0.710650112
1048576,512,536870912,0.835252494,0.791844672
2097152,256,536870912,1.031051575,0.942754402
4194304,128,536870912,1.208025736,1.032236668
8388608,64,536870912,1.418108900,1.065853688
16777216,32,536870912,1.783463227,1.076360424
33554432,16,536870912,2.491330256,1.078802787
67108864,8,536870912,3.868210530,1.057460054
134217728,4,536870912,6.708688229,1.094342005
268435456,2,536870912,12.448644220,1.067216885
536870912,1,536870912,72.570386843,48.579381559
