ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.593859113,1.593824702
16,33554432,536870912,1.549171486,1.549170671
32,16777216,536870912,1.740778238,1.740776896
64,8388608,536870912,1.639143175,1.639140097
128,4194304,536870912,1.680761312,1.680754639
256,2097152,536870912,1.606326092,1.606316208
512,1048576,536870912,1.571310144,1.571291460
1024,524288,536870912,1.546336501,1.546301157
2048,262144,536870912,1.534088568,1.534022501
4096,131072,536870912,1.533274600,1.533142349
8192,65536,536870912,1.540801394,1.540532584
16384,32768,536870912,1.571699663,1.571153140
32768,16384,536870912,1.556251942,1.555107432
65536,8192,536870912,1.566816987,1.564513568
131072,4096,536870912,1.549130191,1.544556984
262144,2048,536870912,1.549265321,1.540207791
524288,1024,536870912,1.557601455,1.540688931
1048576,512,536870912,1.606242527,1.572898163
2097152,256,536870912,1.688189398,1.622816661
4194304,128,536870912,1.754980988,1.625612175
8388608,64,536870912,1.889051850,1.628575691
16777216,32,536870912,2.141553741,1.623356465
33554432,16,536870912,2.658883155,1.626064518
67108864,8,536870912,3.682430585,1.625011034
134217728,4,536870912,5.746454217,1.626209639
268435456,2,536870912,9.973907995,1.643795316
536870912,1,536870912,18.082295083,1.621518132
