ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.703337474,1.703302163
16,33554432,536870912,1.595004810,1.595003730
32,16777216,536870912,1.654379219,1.654377670
64,8388608,536870912,1.568202778,1.568199834
128,4194304,536870912,1.513182540,1.513176642
256,2097152,536870912,1.489610350,1.489598943
512,1048576,536870912,1.485921113,1.485901583
1024,524288,536870912,1.482804229,1.482767692
2048,262144,536870912,1.504337515,1.504269510
4096,131072,536870912,1.489395359,1.489255151
8192,65536,536870912,1.481581225,1.481307585
16384,32768,536870912,1.483106515,1.482557015
32768,16384,536870912,1.486138545,1.484972737
65536,8192,536870912,1.485798830,1.483493914
131072,4096,536870912,1.487488841,1.482890956
262144,2048,536870912,1.493635550,1.484478478
524288,1024,536870912,1.501637332,1.484353865
1048576,512,536870912,1.559580850,1.526075105
2097152,256,536870912,1.646819124,1.579788228
4194304,128,536870912,1.710768495,1.579077725
8388608,64,536870912,1.845001985,1.582967393
16777216,32,536870912,2.103325453,1.580303978
33554432,16,536870912,2.627819524,1.581334939
67108864,8,536870912,3.663504639,1.579352919
134217728,4,536870912,5.771695914,1.593914886
268435456,2,536870912,10.083360369,1.602412440
536870912,1,536870912,18.582603545,1.602699413
