ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.899664840,1.899618186
16,33554432,536870912,1.715522737,1.715521737
32,16777216,536870912,1.846814753,1.846813669
64,8388608,536870912,1.783761703,1.783759237
128,4194304,536870912,1.725604582,1.725599046
256,2097152,536870912,1.675932555,1.675923327
512,1048576,536870912,1.638740042,1.638722943
1024,524288,536870912,1.626509865,1.626477479
2048,262144,536870912,1.622821480,1.622759336
4096,131072,536870912,1.623070930,1.622945272
8192,65536,536870912,1.613082930,1.612829283
16384,32768,536870912,1.612612239,1.612086815
32768,16384,536870912,1.612789442,1.611675605
65536,8192,536870912,1.613193641,1.610999292
131072,4096,536870912,1.613791833,1.609384316
262144,2048,536870912,1.636647148,1.627911468
524288,1024,536870912,1.654599958,1.638075698
1048576,512,536870912,1.738994520,1.705599483
2097152,256,536870912,1.792075526,1.728007281
4194304,128,536870912,1.850184560,1.722411556
8388608,64,536870912,1.976498377,1.721130438
16777216,32,536870912,2.236063920,1.722832416
33554432,16,536870912,2.750806859,1.721861432
67108864,8,536870912,3.778974021,1.722903086
134217728,4,536870912,5.918220781,1.812525947
268435456,2,536870912,9.916826092,1.770375304
536870912,1,536870912,18.181846957,1.892070396
