ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.304645169,2.304590716
16,33554432,536870912,2.128433308,2.128432330
32,16777216,536870912,2.149124890,2.149123381
64,8388608,536870912,2.088976263,2.088973846
128,4194304,536870912,2.145813295,2.145806560
256,2097152,536870912,2.045602477,2.045592225
512,1048576,536870912,2.078513780,2.078496106
1024,524288,536870912,2.098061268,2.098027078
2048,262144,536870912,2.087878497,2.087813350
4096,131072,536870912,2.077428247,2.077298280
8192,65536,536870912,2.086085588,2.085826957
16384,32768,536870912,2.013630584,2.013097374
32768,16384,536870912,2.026862605,2.025736086
65536,8192,536870912,2.037661279,2.035444165
131072,4096,536870912,2.060699121,2.056239652
262144,2048,536870912,2.125741608,2.116593707
524288,1024,536870912,2.171891064,2.154558438
1048576,512,536870912,2.245399522,2.212194280
2097152,256,536870912,2.275019756,2.208230104
4194304,128,536870912,2.328366628,2.195962987
8388608,64,536870912,2.451047953,2.188243443
16777216,32,536870912,2.708907578,2.187362932
33554432,16,536870912,3.228737048,2.185181392
67108864,8,536870912,4.273537781,2.186062985
134217728,4,536870912,6.358028821,2.179964726
268435456,2,536870912,10.530301286,2.182923970
536870912,1,536870912,18.591211686,2.155682088
