Mode,Iteration,InterpTime,MoverTime,TotalTime
Serial,1,0.237095,0.197164,0.434260
Serial,2,0.236362,0.196865,0.433226
Serial,3,0.235799,0.196646,0.432445
Serial,4,0.236046,0.197354,0.433400
Serial,5,0.236203,0.197540,0.433743
Serial,6,0.555797,0.197014,0.752811
Serial,7,0.252888,0.197556,0.450444
Serial,8,0.252160,0.192045,0.444205
Serial,9,0.221017,0.187296,0.408313
Serial,10,0.227085,0.187911,0.414996
Parallel,1,0.214729,0.054180,0.268909
Parallel,2,0.466540,0.055315,0.521855
Parallel,3,0.291346,0.053674,0.345020
Parallel,4,0.465627,0.058451,0.524078
Parallel,5,0.362047,0.055826,0.417873
Parallel,6,0.466562,0.054714,0.521276
Parallel,7,0.465943,0.053856,0.519799
Parallel,8,0.465250,0.056276,0.521526
Parallel,9,0.333947,0.059908,0.393855
Parallel,10,0.465797,0.059216,0.525012
