Mode,Iteration,InterpTime,MoverTime,TotalTime
Serial,1,0.102115,0.086496,0.188611
Serial,2,0.105197,0.083983,0.189180
Serial,3,0.102069,0.083814,0.185883
Serial,4,0.104293,0.084106,0.188399
Serial,5,0.103516,0.083764,0.187280
Serial,6,0.102834,0.083864,0.186698
Serial,7,0.102701,0.083824,0.186525
Serial,8,0.102716,0.083907,0.186623
Serial,9,0.102187,0.085107,0.187294
Serial,10,0.102436,0.083835,0.186271
Parallel,1,0.102119,0.024384,0.126503
Parallel,2,0.103024,0.024020,0.127044
Parallel,3,0.102926,0.024892,0.127818
Parallel,4,0.104170,0.025010,0.129181
Parallel,5,0.104059,0.024199,0.128258
Parallel,6,0.103098,0.024087,0.127184
Parallel,7,0.103095,0.024132,0.127226
Parallel,8,0.103297,0.024176,0.127473
Parallel,9,0.103071,0.024000,0.127072
Parallel,10,0.102970,0.024092,0.127061
