Grid_Nx,Grid_Ny,Num_Particles,Approach,Interp_Time_s,Mover_Time_s,Total_Time_s
250,100,100,Deferred,0.000192,3.5e-05,0.000227
250,100,10000,Deferred,0.002396,0.002577,0.004973
250,100,1000000,Deferred,0.145068,0.156902,0.30197
250,100,100000000,Deferred,11.530462,13.500279,25.030741
250,100,1000000000,Deferred,116.569039,134.668937,251.237976
500,200,100,Deferred,0.000458,1.9e-05,0.000477
500,200,10000,Deferred,0.002407,0.001894,0.004301
500,200,1000000,Deferred,0.135288,0.126818,0.262106
500,200,100000000,Deferred,14.147191,13.309037,27.456228
500,200,1000000000,Deferred,155.076727,135.479635,290.556362
1000,400,100,Deferred,0.001666,1.3e-05,0.001679
1000,400,10000,Deferred,0.004519,0.001264,0.005782
1000,400,1000000,Deferred,0.144944,0.12647,0.271414
1000,400,100000000,Deferred,15.315564,13.690922,29.006487
1000,400,1000000000,Deferred,157.83317,140.122068,297.955238
