Grid_Nx,Grid_Ny,Num_Particles,Approach,Interp_Time_s,Mover_Time_s,Total_Time_s
250,100,100,Immediate,0.000289,2.7e-05,0.000316
250,100,10000,Immediate,0.001738,0.002465,0.004203
250,100,1000000,Immediate,0.049504,0.074857,0.124361
250,100,100000000,Immediate,3.586706,6.063971,9.650677
250,100,1000000000,Immediate,433.890278,513.153815,947.044093
500,200,100,Immediate,0.000325,7e-06,0.000332
500,200,10000,Immediate,0.000718,0.000653,0.001371
500,200,1000000,Immediate,0.042148,0.066177,0.108325
500,200,100000000,Immediate,3.884924,6.251803,10.136727
500,200,1000000000,Immediate,257.860114,259.917733,517.777847
1000,400,100,Immediate,0.001791,8e-06,0.0018
1000,400,10000,Immediate,0.002451,0.000653,0.003105
1000,400,1000000,Immediate,0.083896,0.066868,0.150763
1000,400,100000000,Immediate,7.411535,6.225138,13.636673
1000,400,1000000000,Immediate,273.711563,256.6186,530.330162
