Grid_Nx,Grid_Ny,Threads,Approach,Interp_Time_s,Mover_Time_s,Total_Time_s
250,100,1,Assign04_Baseline,0.530985,0.908070,1.439054
250,100,1,New_Insertion_Deletion,0.524133,0.876471,1.400604
250,100,2,Assign04_Baseline,0.522565,0.460048,0.982612
250,100,2,New_Insertion_Deletion,0.519898,0.444837,0.964735
250,100,4,Assign04_Baseline,0.525551,0.261218,0.786769
250,100,4,New_Insertion_Deletion,0.524216,0.261921,0.786137
250,100,8,Assign04_Baseline,0.533324,0.233925,0.767249
250,100,8,New_Insertion_Deletion,0.532307,0.233967,0.766275
250,100,16,Assign04_Baseline,0.521970,0.249951,0.771921
250,100,16,New_Insertion_Deletion,0.535057,0.250683,0.785739
500,200,1,Assign04_Baseline,0.525099,0.862414,1.387513
500,200,1,New_Insertion_Deletion,0.521106,0.843221,1.364326
500,200,2,Assign04_Baseline,0.541069,0.453879,0.994947
500,200,2,New_Insertion_Deletion,0.540127,0.442698,0.982825
500,200,4,Assign04_Baseline,0.537259,0.261997,0.799256
500,200,4,New_Insertion_Deletion,0.533454,0.258026,0.791480
500,200,8,Assign04_Baseline,0.554720,0.241506,0.796226
500,200,8,New_Insertion_Deletion,0.554987,0.240071,0.795058
500,200,16,Assign04_Baseline,0.532133,0.253051,0.785184
500,200,16,New_Insertion_Deletion,0.551198,0.249616,0.800814
1000,400,1,Assign04_Baseline,1.074488,0.884734,1.959223
1000,400,1,New_Insertion_Deletion,1.070324,0.865563,1.935887
1000,400,2,Assign04_Baseline,1.067397,0.446483,1.513880
1000,400,2,New_Insertion_Deletion,1.067764,0.439371,1.507135
1000,400,4,Assign04_Baseline,1.070544,0.257358,1.327902
1000,400,4,New_Insertion_Deletion,1.069438,0.254116,1.323554
1000,400,8,Assign04_Baseline,1.070380,0.236088,1.306468
1000,400,8,New_Insertion_Deletion,1.068012,0.237270,1.305282
1000,400,16,Assign04_Baseline,1.046866,0.255899,1.302765
1000,400,16,New_Insertion_Deletion,1.074340,0.257344,1.331684
