Grid_Nx,Grid_Ny,Threads,Approach,Interp_Time_s,Mover_Time_s,Total_Time_s
250,100,1,Assign04_Baseline,1.705313,1.892403,3.597716
250,100,1,Immediate_Replacement,1.640632,1.829945,3.470577
250,100,2,Assign04_Baseline,1.70297,0.962741,2.665711
250,100,2,Immediate_Replacement,1.733929,0.951961,2.68589
250,100,4,Assign04_Baseline,1.642758,0.547965,2.190723
250,100,4,Immediate_Replacement,1.668211,0.534419,2.20263
250,100,8,Assign04_Baseline,1.725782,0.312374,2.038156
250,100,8,Immediate_Replacement,1.725995,0.309667,2.035662
250,100,16,Assign04_Baseline,1.647619,0.2966,1.94422
250,100,16,Immediate_Replacement,1.74678,0.223982,1.970761
500,200,1,Assign04_Baseline,1.976008,1.832649,3.808657
500,200,1,Immediate_Replacement,1.974395,1.82533,3.799725
500,200,2,Assign04_Baseline,2.567351,0.938027,3.505378
500,200,2,Immediate_Replacement,2.640256,0.957027,3.597283
500,200,4,Assign04_Baseline,2.669303,0.529594,3.198897
500,200,4,Immediate_Replacement,2.475293,0.538408,3.013702
500,200,8,Assign04_Baseline,2.113862,0.298608,2.41247
500,200,8,Immediate_Replacement,2.082722,0.294488,2.377209
500,200,16,Assign04_Baseline,2.320236,0.290213,2.610449
500,200,16,Immediate_Replacement,2.544013,0.28952,2.833534
1000,400,1,Assign04_Baseline,2.152338,1.889762,4.042101
1000,400,1,Immediate_Replacement,2.066716,1.881726,3.948442
1000,400,2,Assign04_Baseline,2.506655,1.050069,3.556724
1000,400,2,Immediate_Replacement,2.955424,1.066001,4.021425
1000,400,4,Assign04_Baseline,2.349696,0.591599,2.941295
1000,400,4,Immediate_Replacement,3.03999,0.565618,3.605608
1000,400,8,Assign04_Baseline,2.984098,0.349382,3.333479
1000,400,8,Immediate_Replacement,4.193,0.331131,4.524132
1000,400,16,Assign04_Baseline,2.379857,0.259064,2.638922
1000,400,16,Immediate_Replacement,2.298621,0.255072,2.553693
