x,y
0.806166,0.739538
0.708938,0.467462
0.173839,0.257426
0.645051,0.782246
0.276081,0.053637
0.360103,0.742885
0.344477,0.155490
0.140482,0.802724
0.115615,0.593490
0.549473,0.689338
0.993638,0.193061
0.482402,0.448020
0.583812,0.596069
0.718347,0.547493
0.765151,0.594295
0.255750,0.766588
0.433959,0.108864
0.240719,0.045865
0.189479,0.836749
0.983421,0.451868
0.903151,0.278649
0.292366,0.236249
0.459211,0.425805
0.690195,0.858110
0.953657,0.595841
0.325594,0.906732
0.789869,0.805354
0.431146,0.382540
0.333883,0.112434
0.949278,0.083656
0.726269,0.212011
0.929236,0.614801
0.228649,0.239186
0.786168,0.463941
0.115344,0.713456
0.958295,0.932870
0.105408,0.205930
0.207445,0.542111
0.601709,0.198312
0.168570,0.643254
0.792751,0.499892
0.456071,0.517044
0.244864,0.854684
0.913168,0.537730
0.089212,0.951226
0.692459,0.901873
0.117429,0.657361
0.494520,0.344991
0.786755,0.271705
0.790387,0.950243
0.096533,0.692524
0.920179,0.123757
0.984702,0.107334
0.778590,0.589239
0.356990,0.939630
0.133972,0.189317
0.434992,0.664927
0.660213,0.624325
0.543721,0.543301
0.228797,0.609046
0.490682,0.853465
0.538063,0.576872
0.547322,0.099814
0.963520,0.396201
0.295841,0.754493
0.238778,0.471118
0.496624,0.155118
0.608191,0.458343
0.292125,0.452024
0.058767,0.677208
0.361396,0.168991
0.772282,0.784669
0.873114,0.371066
0.459363,0.396343
0.050755,0.792909
0.097834,0.534749
0.651538,0.545520
0.161696,0.169644
0.672351,0.108825
0.608383,0.029635
0.872423,0.835357
0.377556,0.280155
0.920050,0.969064
0.818101,0.186362
0.382439,0.853853
0.864178,0.642562
0.112603,0.597691
0.471296,0.912999
0.158836,0.714729
0.377254,0.214531
0.675047,0.540808
0.713845,0.374174
0.128579,0.855548
0.477870,0.741423
0.386322,0.473801
0.742003,0.804603
0.793062,0.114009
0.134713,0.756345
0.065593,0.996794
0.963804,0.473696
0.861475,0.871252
0.140971,0.989101
0.479038,0.665226
0.892856,0.631871
0.618099,0.284415
0.810479,0.258501
0.795821,0.481723
0.603544,0.957195
0.349429,0.108986
0.686139,0.287774
0.109885,0.385700
0.124440,0.866691
0.526996,0.260978
0.613816,0.621275
0.232746,0.530401
0.061818,0.084517
0.435732,0.226368
0.046114,0.969781
0.852295,0.951434
0.555946,0.461138
0.261172,0.378954
0.750898,0.041758
0.831767,0.348277
0.960243,0.112277
0.437761,0.552742
0.496077,0.473584
0.052015,0.636387
0.402827,0.616397
0.481823,0.417303
0.185290,0.125166
0.594448,0.227599
0.534250,0.433946
0.486877,0.298489
0.971944,0.386818
0.303074,0.562489
0.840739,0.563198
0.877214,0.599722
0.595597,0.712996
0.948797,0.556327
0.912901,0.418424
0.191361,0.397519
0.970417,0.281377
0.057120,0.395415
0.220495,0.090909
0.396578,0.010536
0.266963,0.594490
0.332447,0.387392
0.037475,0.834617
0.448826,0.715903
0.165613,0.045235
0.035971,0.684883
0.565961,0.382281
0.624095,0.188442
0.135543,0.588383
0.095939,0.959118
0.913740,0.159143
0.425393,0.983165
0.160935,0.540332
0.284928,0.054007
0.489838,0.648517
0.090091,0.588355
0.691571,0.385178
0.080157,0.722006
0.220904,0.782866
0.738063,0.367254
0.861254,0.279318
0.413240,0.390805
0.463102,0.629231
0.596089,0.793007
0.572311,0.326905
0.784895,0.517154
0.260289,0.191937
0.482757,0.440191
0.736085,0.829313
0.491219,0.237682
0.523756,0.563106
0.878566,0.199239
0.970721,0.986602
0.956730,0.207789
0.773271,0.671305
0.594224,0.635187
0.970019,0.031983
0.064949,0.654320
0.021822,0.627238
0.407385,0.548812
0.011955,0.185797
0.180486,0.309343
0.417868,0.712918
0.695962,0.230890
0.478740,0.252236
0.410656,0.988470
0.749302,0.299946
0.169862,0.784481
0.249275,0.162630
0.964928,0.067076
0.799856,0.549351
0.637067,0.725537
0.547946,0.687113
0.423865,0.579477
0.416452,0.794598
0.184151,0.380716
0.705920,0.107995
0.666120,0.429043
0.020589,0.387720
0.613392,0.550858
0.624749,0.061674
0.499297,0.416465
0.310612,0.642868
0.160516,0.545657
0.809392,0.092232
0.554959,0.658343
0.655745,0.280292
0.430584,0.244465
0.950839,0.926094
0.810286,0.398892
0.805989,0.248973
0.780842,0.678220
0.335807,0.472310
0.118496,0.273440
0.849837,0.686186
0.813280,0.503263
0.708014,0.322598
0.848759,0.037544
0.965469,0.995913
0.577405,0.785283
0.095631,0.194593
0.403589,0.753566
0.392180,0.769156
0.769680,0.943595
0.708549,0.792475
0.719319,0.386346
0.795272,0.452709
0.060462,0.011847
0.932047,0.097315
0.406356,0.700224
0.850538,0.162885
0.190850,0.525336
0.473583,0.046941
0.553340,0.424317
0.019339,0.162759
0.193235,0.082676
0.304666,0.602539
0.869124,0.655123
0.431993,0.895279
0.023670,0.139060
0.654248,0.702704
0.461013,0.405630
0.144484,0.434587
0.489526,0.025836
0.632109,0.835267
0.833895,0.488169
0.042010,0.035686
0.040820,0.545023
0.091587,0.589038
0.577497,0.534150
0.776900,0.207516
0.198851,0.088781
0.796559,0.124544
0.727882,0.225517
0.932125,0.668581
0.354799,0.576652
0.405075,0.839071
0.986800,0.532715
0.311254,0.457608
0.684760,0.976247
0.370338,0.448488
0.475945,0.439202
0.555862,0.494957
0.018103,0.596598
0.114894,0.069263
0.736468,0.924046
0.292178,0.416474
0.943118,0.078766
0.023925,0.709909
0.264398,0.961298
0.386292,0.604070
0.533191,0.790463
0.436326,0.535630
0.406569,0.749487
0.003658,0.066627
0.732072,0.345163
0.565361,0.208791
0.807128,0.141631
0.678547,0.842680
0.730832,0.788649
0.849499,0.470460
0.697024,0.117091
0.424030,0.683311
0.131686,0.469214
0.350601,0.417576
0.412201,0.735971
0.061645,0.885748
0.574114,0.460264
0.455914,0.903123
0.275487,0.415738
0.048317,0.978614
0.825535,0.559928
0.152517,0.631163
0.714855,0.829955
0.474956,0.417864
0.593111,0.339395
0.870432,0.338375
0.412361,0.270441
0.984344,0.484117
0.720242,0.310385
0.932132,0.148781
0.163236,0.874756
0.088465,0.665330
0.491376,0.591631
0.621880,0.757438
0.031684,0.697423
0.732476,0.877428
0.288976,0.899771
0.503759,0.009269
0.406691,0.980528
0.436974,0.330910
0.325822,0.346177
0.609384,0.731197
0.634477,0.579897
0.268129,0.369354
0.871183,0.173175
0.498980,0.907859
0.228735,0.582022
0.542947,0.706133
0.132628,0.197847
0.443840,0.187275
0.792424,0.222937
0.967982,0.128278
0.021318,0.501261
0.067396,0.728681
0.462421,0.544936
0.026826,0.801087
0.883446,0.651029
0.522028,0.553447
0.195301,0.780430
0.881969,0.063271
0.012656,0.387457
0.006061,0.228809
0.989789,0.549336
0.957024,0.094153
0.717005,0.434564
0.242796,0.546263
0.570734,0.228841
0.590820,0.673281
0.717198,0.745816
0.364890,0.233426
0.219949,0.437081
0.330041,0.498099
0.029676,0.526270
0.586441,0.243850
0.292594,0.477359
0.323146,0.347071
0.832647,0.368464
0.514912,0.852931
0.880167,0.524162
0.910889,0.625088
0.872171,0.199593
0.083884,0.484386
0.390459,0.699725
0.098712,0.145136
0.351320,0.492470
0.302850,0.614413
0.849630,0.313340
0.638501,0.911717
0.797068,0.261530
0.113863,0.077167
0.687197,0.435307
0.403076,0.541405
0.757932,0.921817
0.345266,0.663004
0.390485,0.278207
0.219607,0.280706
0.424139,0.313164
0.740770,0.819907
0.017342,0.893673
0.935079,0.389126
0.312170,0.253033
0.935982,0.197793
0.551456,0.564965
0.070674,0.344853
0.789361,0.169916
0.456826,0.455097
0.605900,0.846118
0.989583,0.340811
