Config,NX,NY,Points,Maxiter,Threads,TotalTime_sec,AvgIterTime_sec
A,250,100,900000,10,1,0.121391,0.012139
A,250,100,900000,10,2,0.074563,0.007456
A,250,100,900000,10,4,0.041318,0.004132
A,250,100,900000,10,8,0.029100,0.002910
A,250,100,900000,10,16,0.032411,0.003241
B,250,100,5000000,10,1,0.672715,0.067272
B,250,100,5000000,10,2,0.378050,0.037805
B,250,100,5000000,10,4,0.208156,0.020816
B,250,100,5000000,10,8,0.131180,0.013118
B,250,100,5000000,10,16,0.127488,0.012749
C,500,200,3600000,10,1,0.659762,0.065976
C,500,200,3600000,10,2,0.860229,0.086023
C,500,200,3600000,10,4,0.469555,0.046955
C,500,200,3600000,10,8,0.233606,0.023361
C,500,200,3600000,10,16,0.135288,0.013529
D,500,200,20000000,10,1,4.094586,0.409459
D,500,200,20000000,10,2,2.904910,0.290491
D,500,200,20000000,10,4,1.619594,0.161959
D,500,200,20000000,10,8,0.928733,0.092873
D,500,200,20000000,10,16,0.531739,0.053174
E,1000,400,14000000,10,1,2.761712,0.276171
E,1000,400,14000000,10,2,3.079360,0.307936
E,1000,400,14000000,10,4,1.250369,0.125037
E,1000,400,14000000,10,8,2.840396,0.284040
E,1000,400,14000000,10,16,2.942450,0.294245
