Config,Mode,Threads,Time
input_A.bin,Parallel,2,.019554
input_A.bin,Parallel,4,.011568
input_A.bin,Parallel,8,.010865
input_A.bin,Parallel,16,.015007
input_B.bin,Parallel,2,.095625
input_B.bin,Parallel,4,.055319
input_B.bin,Parallel,8,.047968
input_B.bin,Parallel,16,.052924
input_C.bin,Parallel,2,.075114
input_C.bin,Parallel,4,.044289
input_C.bin,Parallel,8,.044117
input_C.bin,Parallel,16,.058568
input_D.bin,Parallel,2,.386866
input_D.bin,Parallel,4,.221815
input_D.bin,Parallel,8,.204285
input_D.bin,Parallel,16,.198405
input_E.bin,Parallel,2,.553066
input_E.bin,Parallel,4,.320180
input_E.bin,Parallel,8,.567585
input_E.bin,Parallel,16,1.614111
input_A.bin,Serial,1,.032156
input_B.bin,Serial,1,.175434
input_C.bin,Serial,1,.130188
input_D.bin,Serial,1,.724201
input_E.bin,Serial,1,1.030427
