scenario;threads;walltime_interp;walltime_norm;walltime_mover;walltime_denorm;void_count;walltime_alg
A;1;0.119568;0.001059;0.152516;0.000228;2;0.273371
A;2;0.063256;0.000593;0.079503;0.000318;2;0.143670
A;4;0.047322;0.000487;0.054171;0.000240;2;0.102220
A;8;0.029136;0.000353;0.028392;0.000219;2;0.058099
A;16;0.027043;0.000428;0.015162;0.000257;2;0.042891
B;1;0.518400;0.000880;0.664329;0.000193;9;1.183803
B;2;0.330833;0.000796;0.390532;0.000307;9;0.722468
B;4;0.184905;0.000365;0.219515;0.000233;9;0.405019
B;8;0.103723;0.000276;0.116427;0.000233;9;0.220659
B;16;0.086926;0.000359;0.078325;0.000272;9;0.165883
C;1;0.449992;0.003198;0.564547;0.000683;0;1.018420
C;2;0.309163;0.002129;0.363760;0.001253;0;0.676304
C;4;0.158903;0.001571;0.182347;0.000781;0;0.343602
C;8;0.105686;0.000823;0.103834;0.000670;0;0.211014
C;16;0.095854;0.000567;0.063341;0.000627;0;0.160388
D;1;2.479769;0.003200;3.125052;0.000702;6;5.608722
D;2;1.359017;0.001683;1.625013;0.001189;6;2.986903
D;4;0.669346;0.001080;0.813407;0.000724;6;1.484556
D;8;0.420168;0.000684;0.496354;0.000670;6;0.917876
D;16;0.308980;0.000523;0.371095;0.000684;6;0.681282
E;1;2.810698;0.012548;3.464295;0.002662;1;6.290203
E;2;1.564400;0.006699;1.805945;0.004056;1;3.381101
E;4;0.814105;0.003212;0.962275;0.002718;1;1.782310
E;8;0.559151;0.002114;0.591254;0.002345;1;1.154864
E;16;0.545174;0.001685;0.347567;0.002409;1;0.896835
