config,cores,ranks,threads_per_rank,wall_time_s,interp_time_s,mover_time_s
a_250x100_900k,2,1,2,0.140372,0.059952,0.079771
a_250x100_900k,4,1,4,0.094795,0.040814,0.053505
a_250x100_900k,8,1,8,0.054847,0.024192,0.030224
a_250x100_900k,16,1,16,0.033517,0.016426,0.016484
a_250x100_900k,32,1,32,0.043574,0.021165,0.019954
a_250x100_900k,64,4,16,0.642440,0.211368,0.151936
b_250x100_5m,2,1,2,0.600109,0.260100,0.339408
b_250x100_5m,4,1,4,0.343180,0.152172,0.190568
b_250x100_5m,8,1,8,0.222856,0.104218,0.118191
b_250x100_5m,16,1,16,0.198430,0.100022,0.097757
b_250x100_5m,32,1,32,0.183506,0.087306,0.094022
b_250x100_5m,64,4,16,0.785170,0.240470,0.304201
c_500x200_3p6m,2,1,2,0.528349,0.241435,0.284958
c_500x200_3p6m,4,1,4,0.307955,0.143474,0.163118
c_500x200_3p6m,8,1,8,0.206419,0.101116,0.104005
c_500x200_3p6m,16,1,16,0.170403,0.093239,0.075907
c_500x200_3p6m,32,1,32,0.168196,0.090021,0.075414
c_500x200_3p6m,64,4,16,0.704274,0.235831,0.197261
d_500x200_20m,2,1,2,2.675174,1.196381,1.476682
d_500x200_20m,4,1,4,1.411798,0.649766,0.760714
d_500x200_20m,8,1,8,0.904839,0.402578,0.501003
d_500x200_20m,16,1,16,0.758381,0.315726,0.441529
d_500x200_20m,32,1,32,0.689088,0.294572,0.391454
d_500x200_20m,64,4,16,1.390531,0.365343,0.770241
e_1000x400_14m,2,1,2,3.112382,1.472585,1.632805
e_1000x400_14m,4,1,4,1.751214,0.852431,0.894471
e_1000x400_14m,8,1,8,1.080289,0.536608,0.540032
e_1000x400_14m,16,1,16,0.998748,0.635684,0.359604
e_1000x400_14m,32,1,32,1.073131,0.706541,0.360894
e_1000x400_14m,64,4,16,1.227832,0.449450,0.494939
